z_grid,area,stage,type,sample_id
1237.9846829361652,26295.216592359426,HH17,mean,mean
1250.6171797008199,26857.216213113064,HH17,mean,mean
1263.2496764654747,27693.64070299032,HH17,mean,mean
1275.8821732301294,28837.678754244716,HH17,mean,mean
1288.514669994784,29805.47238490614,HH17,mean,mean
1301.147166759439,31042.78226696119,HH17,mean,mean
1313.7796635240936,32557.785559823027,HH17,mean,mean
1326.4121602887483,34249.22477188196,HH17,mean,mean
1339.0446570534032,35742.92961396073,HH17,mean,mean
1351.6771538180578,37621.55358733268,HH17,mean,mean
1364.3096505827125,39696.8934391509,HH17,mean,mean
1376.9421473473674,41825.417229895065,HH17,mean,mean
1389.574644112022,43790.56094807326,HH17,mean,mean
1402.207140876677,45889.54344710225,HH17,mean,mean
1414.8396376413316,47909.048126434434,HH17,mean,mean
1427.4721344059863,49913.59642914769,HH17,mean,mean
1440.1046311706411,51656.899131606886,HH17,mean,mean
1452.7371279352958,53202.61091298365,HH17,mean,mean
1465.3696246999507,54272.38896169648,HH17,mean,mean
1478.0021214646054,55342.16701040929,HH17,mean,mean
1490.63461822926,56092.33896096222,HH17,mean,mean
1503.267114993915,56213.025186031766,HH17,mean,mean
1515.8996117585696,55843.99675148019,HH17,mean,mean
1528.5321085232242,55474.96831692862,HH17,mean,mean
1541.164605287879,54991.418405559416,HH17,mean,mean
1553.7971020525338,53774.59575353572,HH17,mean,mean
1566.4295988171884,52248.571504051564,HH17,mean,mean
1579.0620955818433,50722.547254567384,HH17,mean,mean
1591.694592346498,49291.04675057252,HH17,mean,mean
1604.3270891111529,47622.9435456038,HH17,mean,mean
1616.9595858758075,45962.680318881066,HH17,mean,mean
1629.5920826404622,44302.41709215834,HH17,mean,mean
1642.224579405117,42863.685409672,HH17,mean,mean
1654.8570761697717,41967.71408848417,HH17,mean,mean
1667.4895729344266,41242.10019730483,HH17,mean,mean
1680.1220696990813,40516.4863061255,HH17,mean,mean
1692.754566463736,40059.67320351222,HH17,mean,mean
1705.3870632283908,40306.46696095588,HH17,mean,mean
1718.0195599930455,40607.218363072934,HH17,mean,mean
1730.6520567577002,40907.96976519,HH17,mean,mean
1743.284553522355,41402.28108305267,HH17,mean,mean
1755.9170502870097,42295.43558149385,HH17,mean,mean
1768.5495470516644,43188.59007993503,HH17,mean,mean
1781.1820438163193,44081.744578376216,HH17,mean,mean
1793.814540580974,45136.97155762082,HH17,mean,mean
1806.4470373456288,46439.13984351833,HH17,mean,mean
1819.0795341102835,47741.308129415826,HH17,mean,mean
1831.7120308749381,49043.47641531332,HH17,mean,mean
1844.344527639593,50358.72251790776,HH17,mean,mean
1856.9770244042477,51657.041896308445,HH17,mean,mean
1869.6095211689026,52955.36127470915,HH17,mean,mean
1882.2420179335572,54253.680653109834,HH17,mean,mean
1894.874514698212,55420.19078912159,HH17,mean,mean
1907.5070114628668,56460.9089392885,HH17,mean,mean
1920.1395082275214,57501.627089455396,HH17,mean,mean
1932.772004992176,58542.345239622286,HH17,mean,mean
1945.404501756831,59602.5307315224,HH17,mean,mean
1958.0369985214857,60638.98393852759,HH17,mean,mean
1970.6694952861403,61675.43714553278,HH17,mean,mean
1983.3019920507952,62711.890352537994,HH17,mean,mean
1995.9344888154499,63988.858497401954,HH17,mean,mean
2008.5669855801048,65360.29394085612,HH17,mean,mean
2021.1994823447594,66731.72938431025,HH17,mean,mean
2033.831979109414,68109.598101063,HH17,mean,mean
2046.464475874069,69692.51667050832,HH17,mean,mean
2059.096972638724,71424.5171276323,HH17,mean,mean
2071.7294694033785,73156.51758475625,HH17,mean,mean
2084.361966168033,74828.97792771898,HH17,mean,mean
2096.994462932688,76272.57705689948,HH17,mean,mean
2109.6269596973425,77829.42457094029,HH17,mean,mean
2122.2594564619976,79386.27208498113,HH17,mean,mean
2134.8919532266523,80721.24307071796,HH17,mean,mean
2147.524449991307,81509.22215917423,HH17,mean,mean
2160.1569467559616,82325.4882917372,HH17,mean,mean
2172.7894435206163,83141.75442430018,HH17,mean,mean
2185.421940285271,83556.83043011259,HH17,mean,mean
2198.054437049926,83135.29469604319,HH17,mean,mean
2210.6869338145807,82529.20887479528,HH17,mean,mean
2223.3194305792354,81923.12305354734,HH17,mean,mean
2235.95192734389,80680.19604128589,HH17,mean,mean
2248.5844241085447,78643.34424692842,HH17,mean,mean
2261.2169208732,76097.39822527659,HH17,mean,mean
2273.8494176378545,73551.45220362484,HH17,mean,mean
2286.481914402509,69075.97751424873,HH17,mean,mean
2299.114411167164,63850.63192390024,HH17,mean,mean
2311.7469079318184,57982.749683932285,HH17,mean,mean
2324.379404696473,52304.854508294746,HH17,mean,mean
2337.011901461128,50107.03046156317,HH17,mean,mean
2349.644398225783,47321.71855466559,HH17,mean,mean
2362.2768949904375,43853.52555670517,HH17,mean,mean
2374.909391755092,40385.33255874477,HH17,mean,mean
2387.541888519747,37405.5461386405,HH17,mean,mean
2400.174385284402,35640.380472888144,HH17,mean,mean
2412.8068820490566,32910.55997962686,HH17,mean,mean
2425.4393788137113,30180.739486365568,HH17,mean,mean
2438.071875578366,27450.918993104282,HH17,mean,mean
2450.7043723430206,24821.818495356012,HH17,mean,mean
2463.3368691076757,24821.818495356012,HH17,mean,mean
